GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
productManager,default,Smartphone,12,0,0,0,4,0,2,0,2,0
productManager,ru.netology,ProductRepository,3,83,0,6,1,17,1,7,1,4
productManager,ru.netology,Product,3,18,0,0,1,7,1,3,1,3
productManager,ru.netology,Book,3,9,0,0,1,3,1,1,1,1
productManager,ru.netology,ProductManager,0,77,0,8,0,17,0,8,0,4
